"unigram","bigram","freq"
"in","the",2496
"of","the",2295
"to","the",1441
"for","the",1436
"on","the",1187
"to","be",1079
"at","the",981
"i","have",908
"i","was",873
"and","i",865
"is","a",843
"and","the",828
"i","am",815
"in","a",752
"it","is",708
"going","to",700
"with","the",689
"have","a",659
"it","was",659
"for","a",645
"from","the",625
"will","be",609
"i","dont",598
"with","a",584
"but","i",571
"if","you",549
"to","get",546
"all","the",538
"thanks","for",512
"i","think",501
"i","love",486
"have","to",482
"that","i",472
"want","to",458
"of","a",451
"is","the",444
"to","see",444
"to","do",438
"i","know",436
"do","you",433
"by","the",432
"to","a",420
"and","a",416
"the","same",415
"a","lot",414
"to","make",400
"this","is",394
"that","the",391
"was","a",384
"you","can",376
"you","have",371
"a","great",366
"i","had",366
"of","my",362
"he","was",359
"one","of",359
"be","a",358
"a","little",351
"you","are",344
"out","of",336
"i","just",334
"the","best",333
"have","been",332
"would","be",332
"there","is",329
"in","my",328
"as","a",326
"back","to",324
"the","world",321
"we","are",321
"i","can",319
"need","to",317
"for","me",316
"like","a",308
"thank","you",308
"when","i",307
"that","is",296
"the","first",295
"to","have",295
"so","i",293
"to","go",293
"about","the",292
"i","will",289
"a","good",284
"is","not",283
"a","few",277
"to","my",277
"on","my",276
"the","most",275
"had","a",274
"can","be",271
"there","are",271
"if","i",270
"on","a",270
"you","know",270
"me","to",265
"im","not",264
"they","are",264
"lot","of",263
"way","to",252
"as","i",249
"we","have",246
"a","new",245
"i","would",243
"of","our",243
"at","least",242
"trying","to",242
"and","then",237
"the","day",232
"as","the",231
"the","new",229
"i","could",225
"the","last",224
"love","you",223
"and","it",220
"i","need",219
"the","way",217
"able","to",216
"its","a",216
"more","than",215
"so","much",215
"i","get",211
"see","you",211
"i","cant",210
"of","course",210
"in","this",208
"time","to",208
"has","been",206
"are","you",204
"but","it",204
"like","to",202
"of","this",200
"and","that",199
"at","a",199
"but","the",199
"he","is",197
"to","say",195
"such","a",192
"right","now",191
"what","i",191
"as","well",189
"a","bit",188
"in","his",187
"up","to",186
"my","life",185
"make","it",184
"part","of",184
"the","next",184
"last","night",182
"because","i",181
"the","time",180
"i","do",179
"of","his",177
"i","feel",176
"for","my",175
"the","other",175
"they","were",175
"a","very",174
"do","not",174
"into","the",174
"there","was",174
"all","of",171
"should","be",171
"did","you",170
"how","to",169
"out","the",168
"out","to",168
"for","your",167
"is","in",165
"to","me",165
"cant","wait",164
"forward","to",164
"get","a",163
"its","not",163
"that","you",163
"the","only",163
"you","will",163
"have","the",162
"to","know",162
"what","you",162
"go","to",161
"like","the",161
"for","all",160
"is","so",159
"i","got",158
"this","week",158
"and","to",156
"not","the",156
"you","like",156
"a","big",155
"i","did",154
"i","want",154
"of","all",154
"we","will",154
"is","it",153
"with","my",153
"and","we",152
"get","to",152
"he","had",151
"that","was",151
"then","i",150
"and","have",149
"that","there",149
"to","find",149
"at","pm",148
"looking","forward",148
"to","take",148
"try","to",148
"when","you",148
"it","out",147
"kind","of",147
"up","and",147
"what","is",147
"had","to",146
"know","that",146
"i","thought",145
"love","to",145
"the","end",144
"to","all",144
"do","it",143
"for","you",143
"me","and",143
"to","help",143
"as","we",142
"is","no",142
"might","be",142
"that","it",142
"this","year",142
"told","me",142
"are","the",141
"each","other",141
"get","the",141
"not","sure",141
"wanted","to",141
"would","have",141
"in","your",140
"wait","to",140
"you","want",140
"i","hope",139
"we","were",139
"the","th",138
"think","i",138
"a","nice",137
"the","follow",137
"to","watch",137
"let","me",136
"too","much",136
"check","out",135
"in","our",135
"the","top",135
"you","do",135
"feel","like",134
"it","and",134
"that","he",134
"on","your",133
"now","i",132
"for","this",131
"i","didnt",131
"say","that",131
"but","its",130
"is","that",130
"not","a",129
"of","you",129
"them","to",129
"to","hear",128
"me","in",127
"so","far",127
"they","have",127
"to","work",127
