"unigram","bigram","trigram","quadgram","freq"
"thanks","for","the","follow",92
"have","a","great","day",64
"at","the","same","time",48
"in","the","middle","of",47
"im","not","sure","how",43
"i","am","going","to",41
"cant","wait","to","see",39
"going","to","have","to",39
"i","would","like","to",39
"the","end","of","the",39
"what","is","your","favorite",39
"at","the","top","of",38
"planing","on","going","to",36
"with","a","lot","of",36
"at","the","end","of",35
"its","going","to","be",35
"let","us","know","if",35
"was","one","of","the",35
"thanks","for","following","me",34
"id","love","to","tell",33
"love","to","tell","you",33
"to","tell","you","that",33
"and","i","am","so",32
"i","dont","want","a",32
"is","one","of","the",32
"the","rest","of","the",32
"i","cant","wait","to",31
"i","would","love","to",31
"looking","forward","to","the",31
"so","im","not","sure",31
"to","be","able","to",31
"gaston","south","carolina","attractions",30
"the","gaston","south","carolina",30
"we","would","like","to",30
"it","has","been","a",29
"thanks","for","the","retweet",29
"that","there","is","no",29
"a","piece","of","paper",28
"having","a","great","time",28
"i","dont","think","i",28
"i","have","to","say",28
"now","i","have","a",28
"but","i","dont","want",27
"hope","to","see","you",27
"i","must","say","i",27
"on","my","way","to",27
"significant","impacts","would","be",27
"want","to","go","to",27
"what","to","do","when",27
"is","our","primary","goal",26
"our","primary","goal","well",26
"the","top","of","the",26
"this","will","be","a",26
"when","it","comes","to",26
"a","good","way","to",25
"are","you","trying","to",25
"he","was","one","of",25
"i","just","dont","like",25
"just","dont","like","it",25
"thank","you","so","much",25
"a","little","more","why",24
"always","wanting","to","get",24
"another","side","of","skip",24
"are","going","to","be",24
"ass","on","first","take",24
"front","of","groups","but",24
"get","in","someones","ass",24
"got","to","see","another",24
"hes","always","wanting","to",24
"if","you","want","to",24
"in","front","of","groups",24
"in","someones","ass","on",24
"just","got","to","see",24
"let","me","know","if",24
"little","more","why","hes",24
"more","why","hes","always",24
"of","skip","understand","a",24
"see","another","side","of",24
"side","of","skip","understand",24
"skip","understand","a","little",24
"someones","ass","on","first",24
"to","get","in","someones",24
"to","have","a","good",24
"to","see","another","side",24
"understand","a","little","more",24
"wanting","to","get","in",24
"what","im","talking","about",24
"why","hes","always","wanting",24
"a","dollar","itunes","gift",23
"also","if","you","noticed",23
"always","laughs","at","them",23
"and","the","show","horse",23
"at","them","its","very",23
"card","and","follower","a",23
"derby","winner","sorta","and",23
"did","you","know","that",23
"dollar","itunes","gift","card",23
"faceplants","or","gets","hurt",23
"follow","me","my","follower",23
"follower","will","get","a",23
"friend","always","laughs","at",23
"friend","faceplants","or","gets",23
"funny","how","whenever","someones",23
"get","a","dollar","itunes",23
"gets","hurt","there","friend",23
"gift","card","and","follower",23
"how","whenever","someones","friend",23
"hurt","there","friend","always",23
"i","think","its","funny",23
