"unigram","bigram","trigram","freq"
"thanks","for","the",308
"a","lot","of",257
"one","of","the",152
"looking","forward","to",148
"i","have","a",144
"going","to","be",142
"i","love","you",134
"for","the","follow",129
"to","be","a",119
"have","a","great",116
"im","going","to",115
"the","fact","that",112
"i","need","to",101
"i","think","i",101
"you","have","to",101
"cant","wait","to",100
"there","is","a",98
"and","i","am",97
"i","dont","think",96
"in","the","world",95
"be","able","to",93
"i","have","to",91
"im","not","sure",91
"would","like","to",91
"there","is","no",88
"back","to","the",82
"i","dont","want",82
"i","want","to",82
"i","have","been",80
"to","see","you",80
"the","rest","of",77
"in","order","to",76
"to","make","a",76
"you","want","to",76
"this","is","a",75
"i","feel","like",74
"thanks","for","following",74
"to","make","it",74
"the","end","of",73
"a","great","day",71
"i","had","a",71
"to","have","a",69
"a","great","time",68
"and","i","have",68
"it","was","a",68
"part","of","the",68
"thank","you","for",68
"i","dont","know",67
"one","of","my",67
"that","would","be",67
"but","i","dont",64
"for","free","spirit",64
"it","is","a",64
"to","go","to",64
"we","have","a",64
"that","there","is",63
"do","you","think",61
"going","to","the",61
"i","know","i",61
"in","front","of",61
"so","much","for",60
"want","to","be",60
"for","the","next",59
"of","my","life",59
"to","talk","to",59
"i","am","so",57
"in","the","middle",57
"out","of","the",57
"at","the","same",56
"id","love","to",56
"it","in","the",56
"was","going","to",56
"was","one","of",56
"if","you","have",55
"to","say","that",55
"a","bit","of",54
"as","well","as",54
"do","you","have",54
"for","the","day",54
"i","have","an",53
"i","should","have",53
"all","the","way",52
"i","get","to",52
"i","wanted","to",52
"in","love","with",52
"it","will","be",52
"now","i","have",52
"and","it","was",51
"i","will","be",51
"there","was","a",51
"as","soon","as",50
"for","all","the",50
"i","dont","like",50
"most","of","the",50
"so","excited","to",50
"wait","to","see",50
"what","to","do",50
"i","love","it",49
"of","the","year",49
"to","have","to",49
"want","to","go",49
"what","do","you",49
"a","lot","about",48
"and","i","was",48
"for","robert","kaufman",48
"i","do","not",48
"i","was","going",48
"i","would","like",48
"in","my","life",48
"so","i","can",48
"the","same","time",48
"up","with","a",48
"what","are","you",48
"will","always","be",48
"you","do","not",48
"are","going","to",47
"at","the","top",47
"i","think","of",47
"im","pretty","sure",47
"let","me","know",47
"of","the","day",47
"the","middle","of",47
"when","i","was",47
"you","know","i",47
"for","a","while",46
"is","one","of",46
"it","would","be",46
"on","the","other",46
"the","top","of",46
"to","go","out",46
"a","piece","of",45
"all","the","time",45
"back","to","my",45
"i","had","to",45
"i","hope","that",45
"i","was","just",45
"looks","like","a",45
"there","are","more",45
"to","get","to",45
"to","make","the",45
"would","be","a",45
"for","me","to",44
"its","going","to",44
"that","it","is",44
"the","world","i",44
"will","be","a",44
"all","of","our",43
"end","of","the",43
"here","at","the",43
"not","sure","how",43
"one","of","those",43
"seems","to","be",43
"to","do","with",43
"would","love","to",43
"you","need","to",43
"you","will","be",43
"going","to","have",42
"here","is","a",42
"if","you","are",42
"in","the","first",42
"it","makes","me",42
"no","matter","what",42
"that","i","have",42
"am","going","to",41
"and","have","a",41
"at","a","time",41
"at","the","end",41
"go","to","the",41
"has","been","a",41
"i","am","going",41
"in","the","end",41
"is","what","i",41
"of","all","the",41
"that","i","was",41
"all","of","the",40
"i","am","a",40
"i","must","say",40
"i","used","to",40
"know","how","to",40
"many","of","the",40
"piece","of","paper",40
"this","is","the",40
"forward","to","the",39
"i","was","in",39
"is","going","to",39
"is","not","the",39
"is","your","favorite",39
"let","us","know",39
"more","of","a",39
"that","he","was",39
"to","look","at",39
"what","is","your",39
"and","for","the",38
"and","it","is",38
"dont","like","it",38
"i","was","so",38
"i","wish","i",38
"needs","to","be",38
"some","of","the",38
"to","get","some",38
"you","have","a",38
"blessed","to","have",37
"but","i","have",37
"day","in","the",37
"dont","forget","to",37
"how","do","we",37
"i","decided","to",37
"in","the","th",37
"is","not","a",37
"it","can","be",37
"the","ability","to",37
"the","same","thing",37
"to","see","the",37
"who","wants","to",37
"and","i","will",36
"i","can","get",36
"i","cant","wait",36
"i","think","its",36
"in","the","last",36
"in","the","s",36
"on","going","to",36
"on","the","computer",36
"planing","on","going",36
"that","you","can",36
"the","best","thing",36
"think","its","funny",36
"to","get","a",36
"was","able","to",36
"with","a","lot",36
"you","know","that",36
"by","the","time",35
"dont","have","to",35
"he","had","a",35
"my","way","to",35
"name","of","the",35
"the","only","thing",35
"thought","i","was",35
"to","tell","you",35
"trying","to","get",35
"us","know","if",35
"we","will","be",35
"what","would","you",35
"and","he","was",34
"as","a","result",34
"as","well","and",34
"at","the","time",34
"can","i","get",34
"check","out","the",34
"for","following","me",34
"going","to","make",34
"i","am","in",34
"in","response","to",34
"it","is","not",34
"last","year","and",34
"look","at","the",34
"of","the","month",34
"see","you","at",34
"the","world","is",34
"to","put","the",34
"a","couple","of",33
"at","some","point",33
"how","are","you",33
"i","am","not",33
"i","see","you",33
"i","would","love",33
"love","to","tell",33
"on","my","way",33
"please","follow","me",33
"tell","you","that",33
"that","there","are",33
"to","find","out",33
"to","get","in",33
"to","the","world",33
"today","is","the",33
"told","me","that",33
"up","and","the",33
"you","can","use",33
"you","have","any",33
"you","have","the",33
"a","lot","more",32
"and","a","half",32
"but","it","was",32
"dont","want","a",32
"dont","want","to",32
"for","me","and",32
"for","michael","miller",32
"had","a","nice",32
"i","refuse","to",32
"i","spent","the",32
"i","think","it",32
"in","a","good",32
"in","the","same",32
"is","such","a",32
"it","wont","be",32
"just","trying","to",32
"love","you","babe",32
"not","want","to",32
"of","the","time",32
"on","the","internet",32
"rest","of","the",32
"the","first","time",32
"the","number","of",32
"this","is","not",32
"to","pick","up",32
"up","for","a",32
"what","happened","to",32
